,Team-26,Team-03,Team-27,Team-33,Team-28,Team-06,Team-29,Team-31,Team-16,Team-22,Team-25,Team-05,Team-20,Team-10,Team-14,Team-21,Team-13,Team-32
Team-26,1.0000000000000002,0.7737733705255336,0.699410050362363,0.10592656270707468,0.8449830968231441,0.08166972136745844,0.8350620540543838,0.09032358166328583,0.6986378846220774,0.047181618985003115,0.09725387333920497,0.07991987398800496,0.8114480959024328,0.05459200059967383,0.10394236372536837,0.11707424383064528,0.23761365712685464,0.80314220154964
Team-03,0.7737733705255336,1.0000000000000009,0.5309670054951868,0.16873971149342262,0.8456104525636298,0.38359850486083635,0.8378821227750722,0.15936208379902048,0.7489659455362956,0.08071385427006356,0.2667503431030979,0.27250405102675135,0.8030934836010495,0.2270235055435033,0.27365821150151826,0.3200500392225921,0.24036397283370964,0.7982969558287535
Team-27,0.699410050362363,0.5309670054951868,1.0000000000000002,0.1660912645693076,0.646215790131199,0.114536086584044,0.6115245083426707,0.16944826133333116,0.48723573252098584,0.16058446782715777,0.2423961442680516,0.12967192128331706,0.5648379553333777,0.2431153493139824,0.19342668720824396,0.13260821095894287,0.2634079322925249,0.5598535294391329
Team-33,0.10592656270707468,0.16873971149342262,0.1660912645693076,1.0000000000000004,0.2592527281570485,0.30341514806097725,0.2445436563794786,0.5263063368455216,0.19005122214599254,0.29774855804695305,0.32204158025770296,0.36495552959820043,0.2243931982889828,0.2655724725532774,0.4785149216152186,0.2740303621737196,0.08303888123823037,0.3213796676437836
Team-28,0.8449830968231441,0.8456104525636298,0.646215790131199,0.2592527281570485,1.0000000000000036,0.14309049114166467,0.9274469266842491,0.2123893858018504,0.7441548285364518,0.1225665505744854,0.164383500001461,0.17737897160305172,0.8905429476047229,0.14901725668575447,0.1874734643790618,0.14992248084963292,0.28796161934994047,0.8904936629156658
Team-06,0.08166972136745844,0.38359850486083635,0.114536086584044,0.30341514806097725,0.14309049114166467,0.9999999999999982,0.140309096347416,0.26334511571539015,0.269422836982757,0.19885611979534487,0.5016433368091922,0.567589504302934,0.12585867569658618,0.45380578169156216,0.5428704498318989,0.537421010987867,0.07192765379755996,0.14316550386338425
Team-29,0.8350620540543838,0.8378821227750722,0.6115245083426707,0.2445436563794786,0.9274469266842491,0.140309096347416,0.9999999999999969,0.20450579941582736,0.7454074326183188,0.10602251368624847,0.14572954352658318,0.14091466244736048,0.8828811189269078,0.1414608850835225,0.17866516706015453,0.12173808400236757,0.25831951107848794,0.8819540360846454
Team-31,0.09032358166328583,0.15936208379902048,0.16944826133333116,0.5263063368455216,0.2123893858018504,0.26334511571539015,0.20450579941582736,1.0,0.21989749548164006,0.2750238876768911,0.36420059017082035,0.278888252266152,0.20978023187026337,0.24727593962254046,0.41194019854810776,0.3197986937115003,0.088232621593647,0.27466573038099756
Team-16,0.6986378846220774,0.7489659455362956,0.48723573252098584,0.19005122214599254,0.7441548285364518,0.269422836982757,0.7454074326183188,0.21989749548164006,1.0000000000000004,0.11327121092360926,0.3442366633379324,0.20592991326539034,0.7218159056444502,0.2405632538055605,0.23885353139358265,0.2544967882239442,0.22545473672240757,0.7079487937148463
Team-22,0.047181618985003115,0.08071385427006356,0.16058446782715777,0.29774855804695305,0.1225665505744854,0.19885611979534487,0.10602251368624847,0.2750238876768911,0.11327121092360926,1.0000000000000002,0.3307458655433742,0.27014381167841706,0.11452254255758113,0.15578584005203086,0.24575053737704464,0.12717716041441163,0.07575284437899246,0.1382613867670159
