,Team-26,Team-03,Team-27,Team-33,Team-28,Team-06,Team-29,Team-31,Team-16,Team-22,Team-25,Team-05,Team-20,Team-10,Team-14,Team-21,Team-13,Team-32
Team-26,1.0,0.11422182468694098,0.07399235843563297,0.11285742681091519,0.06696535244922341,0.05691788948447033,0.13097928436911488,0.09750263741860381,0.17166101582236404,0.06584724221902273,0.08598271957050584,0.045622664531381064,0.04873294346978557,0.12688874833087357,0.07236399146814688,0.0808488612836439,0.029382093316519548,0.08378136200716846
Team-03,0.11422182468694098,1.0,0.09655758855266244,0.15801125333499433,0.10005122294788064,0.11446418462047338,0.11681566624095359,0.17329093799682035,0.15141113653699464,0.044298605414273995,0.08354266575321612,0.06331388789677478,0.089740757107085,0.08756139786947277,0.10011399908800729,0.07957760218515265,0.049752496014766334,0.1337548931044866
Team-27,0.07399235843563297,0.09655758855266244,1.0,0.13847091605712294,0.11769800406814136,0.058157235576590416,0.07608600570338879,0.09254484849138628,0.1099830205727479,0.07069558184207865,0.08594592664023715,0.04523788946915729,0.04879286824656578,0.06855921855921855,0.04565217391304347,0.1342655409819589,0.06435288849081953,0.07199416164933406
Team-33,0.11285742681091519,0.15801125333499433,0.13847091605712294,1.0,0.19186679790026248,0.055,0.17479878611954083,0.10706654456654457,0.11661054994388327,0.08290333677330582,0.07721942281264316,0.04769902793158607,0.06668079395352122,0.09520697167755991,0.05735479797979798,0.11214655515730783,0.08815586419753085,0.1769410054097975
Team-28,0.06696535244922341,0.10005122294788064,0.11769800406814136,0.19186679790026248,1.0,0.04997710622710622,0.0724342663273961,0.06964124208622248,0.12476164838369563,0.06990214149769965,0.06055954999616971,0.05460992907801419,0.05992063492063492,0.062112068804057514,0.05024100852799407,0.12586805555555555,0.08154121863799284,0.17073170731707318
Team-06,0.05691788948447033,0.11446418462047338,0.058157235576590416,0.055,0.04997710622710622,1.0,0.0866775578548064,0.0878968253968254,0.10577516619183286,0.024504600141542817,0.05375998117933601,0.04159957058507783,0.13130456629608692,0.05633364456893869,0.08465608465608465,0.04840708737016671,0.035009946007388465,0.04831630493924188
Team-29,0.13097928436911488,0.11681566624095359,0.07608600570338879,0.17479878611954083,0.0724342663273961,0.0866775578548064,1.0,0.12224812224812225,0.13809291181054736,0.07910810650536677,0.06266301512780385,0.042125950334905564,0.09858399485089037,0.14969529478458052,0.07323671497584541,0.07590358527131784,0.0505166475315729,0.12811791383219953
Team-31,0.09750263741860381,0.17329093799682035,0.09254484849138628,0.10706654456654457,0.06964124208622248,0.0878968253968254,0.12224812224812225,1.0,0.18466596681538505,0.06255333674688514,0.07283150548354934,0.06941161019175203,0.10013495276653173,0.11187633914906642,0.09890833803877282,0.16099083619702179,0.04407267494153625,0.0778083028083028
Team-16,0.17166101582236404,0.15141113653699464,0.1099830205727479,0.11661054994388327,0.12476164838369563,0.10577516619183286,0.13809291181054736,0.18466596681538505,1.0,0.07033319951826576,0.14056395333171665,0.04458295327860545,0.10006488784471666,0.16697191697191696,0.11229027940984464,0.16478741976556452,0.026808785529715762,0.09706795240200412
Team-22,0.06584724221902273,0.044298605414273995,0.07069558184207865,0.08290333677330582,0.06990214149769965,0.024504600141542817,0.07910810650536677,0.06255333674688514,0.07033319951826576,1.0,0.052404586901063366,0.03650614967688138,0.03666666666666667,0.06571815718157181,0.026635145784081955,0.06703006770211072,0.04150174955544083,0.08335754640839388
Team-25,0.08598271957050584,0.08354266575321612,0.08594592664023715,0.07721942281264316,0.06055954999616971,0.05375998117933601,0.06266301512780385,0.07283150548354934,0.14056395333171665,0.052404586901063366,1.0,0.04830847901210374,0.06716554916985952,0.07638975380910865,0.039197530864197534,0.08075045521854032,0.05037957211870255,0.05824749962680997
Team-05,0.045622664531381064,0.06331388789677478,0.04523788946915729,0.04769902793158607,0.05460992907801419,0.04159957058507783,0.042125950334905564,0.06941161019175203,0.04458295327860545,0.03650614967688138,0.04830847901210374,1.0,0.0708635697512227,0.036531352969709135,0.042926829268292686,0.04034773440063694,0.03233830845771144,0.05154183342862587
Team-20,0.04873294346978557,0.089740757107085,0.04879286824656578,0.06668079395352122,0.05992063492063492,0.13130456629608692,0.09858399485089037,0.10013495276653173,0.10006488784471666,0.03666666666666667,0.06716554916985952,0.0708635697512227,1.0,0.05626425614598293,0.07695837430350705,0.028332101502833208,0.05608535549051081,0.05756604061688808
Team-10,0.12688874833087357,0.08756139786947277,0.06855921855921855,0.09520697167755991,0.062112068804057514,0.05633364456893869,0.14969529478458052,0.11187633914906642,0.16697191697191696,0.06571815718157181,0.07638975380910865,0.036531352969709135,0.05626425614598293,1.0,0.056577714851096146,0.08255766303711509,0.02039368135258546,0.07259441707717569
Team-14,0.07236399146814688,0.10011399908800729,0.04565217391304347,0.05735479797979798,0.05024100852799407,0.08465608465608465,0.07323671497584541,0.09890833803877282,0.11229027940984464,0.026635145784081955,0.039197530864197534,0.042926829268292686,0.07695837430350705,0.056577714851096146,1.0,0.03982264505520319,0.033006669388866205,0.049002621173752724
Team-21,0.0808488612836439,0.07957760218515265,0.1342655409819589,0.11214655515730783,0.12586805555555555,0.04840708737016671,0.07590358527131784,0.16099083619702179,0.16478741976556452,0.06703006770211072,0.08075045521854032,0.04034773440063694,0.028332101502833208,0.08255766303711509,0.03982264505520319,1.0,0.06404766337739713,0.10113324175824175
Team-13,0.029382093316519548,0.049752496014766334,0.06435288849081953,0.08815586419753085,0.08154121863799284,0.035009946007388465,0.0505166475315729,0.04407267494153625,0.026808785529715762,0.04150174955544083,0.05037957211870255,0.03233830845771144,0.05608535549051081,0.02039368135258546,0.033006669388866205,0.06404766337739713,1.0,0.06666666666666667
Team-32,0.08378136200716846,0.1337548931044866,0.07199416164933406,0.1769410054097975,0.17073170731707318,0.04831630493924188,0.12811791383219953,0.0778083028083028,0.09706795240200412,0.08335754640839388,0.05824749962680997,0.05154183342862587,0.05756604061688808,0.07259441707717569,0.049002621173752724,0.10113324175824175,0.06666666666666667,1.0
