Metric,Mean,Median,Std Dev,Min,Max
Textual (TF-IDF),0.32560553759682576,0.24575053737704464,0.23636077035857067,0.047181618985003115,0.9274469266842491
Structural (AST),0.08192333644316471,0.07259441707717569,0.03840346919073762,0.02039368135258546,0.19186679790026248
Semantic (Embeddings),0.5595603585243225,0.5511406064033508,0.1933734267950058,0.06851266324520111,0.9999998807907104
